community_area,num_of_applications
Rogers Park,5529
West Ridge,7015
Uptown,6947
Lincoln Square,6923
North Center,9095
Lake View,19754
Lincoln Park,18808
Near North Side,42256
Edison Park,1869
Norwood Park,5829
Jefferson Park,3574
Forest Glen,3368
North Park,2740
Albany Park,5398
Portage Park,8463
Irving Park,8544
Dunning,4894
Montclare,1527
Belmont Cragin,7263
Hermosa,2760
Avondale,6265
Logan Square,14622
Humboldt Park,8556
West Town,21860
Austin,14345
West Garfield Park,3595
East Garfield Park,3818
Near West Side,23933
North Lawndale,6411
South Lawndale,6082
Lower West Side,6260
Loop,46254
Near South Side,5582
Armour Square,1748
Douglas,2587
Oakland,630
Fuller Park,806
Grand Boulevard,4511
Kenwood,2313
Washington Park,1988
Hyde Park,5689
Woodlawn,4631
South Shore,7452
Chatham,5271
Avalon Park,1907
South Chicago,4716
Burnside,624
Calumet Heights,2208
Roseland,6248
Pullman,1448
South Deering,3576
East Side,1810
West Pullman,4192
Riverdale,803
Hegewisch,1545
Garfield Ridge,5827
Archer Heights,2696
Brighton Park,4084
Mckinley Park,2306
Bridgeport,5206
New City,6384
West Elsdon,1580
Gage Park,2853
Clearing,2531
West Lawn,3669
Chicago Lawn,5728
West Englewood,6244
Englewood,6194
Greater Grand Crossing,5882
Ashburn,4202
Auburn Gresham,7314
Beverly,3500
Washington Heights,4251
Mount Greenwood,2675
Morgan Park,3828
Ohare,6399
Edgewater,7623
